median_income,median_house_value,ocean_proximity
2.7137,72000.0,INLAND
3.2625,92800.0,INLAND
3.017,112500.0,INLAND
2.25,75000.0,INLAND
3.125,108000.0,INLAND
2.331,65500.0,INLAND
2.875,61500.0,INLAND
2.5625,62700.0,INLAND
1.7463,68800.0,INLAND
2.2679,69100.0,INLAND
2.5556,75800.0,INLAND
2.4559,75000.0,INLAND
2.1845,112500.0,INLAND
3.4402,192400.0,INLAND
3.6694,209400.0,INLAND
3.2619,183800.0,INLAND
5.0016,189100.0,INLAND
4.9618,156500.0,INLAND
5.0468,168800.0,INLAND
3.6411,162800.0,INLAND
5.1041,172900.0,INLAND
3.3558,129700.0,INLAND
4.375,213500.0,INLAND
1.6554,119400.0,INLAND
2.8828,131100.0,INLAND
3.8125,125400.0,INLAND
3.2813,151400.0,INLAND
4.7426,263100.0,INLAND
4.8958,187100.0,INLAND
2.2216,156700.0,INLAND
5.7104,186300.0,INLAND
4.6587,152500.0,INLAND
5.1017,241400.0,INLAND
6.9051,340900.0,INLAND
3.691,154400.0,INLAND
4.4583,253900.0,INLAND
2.2532,109400.0,INLAND
2.2361,105100.0,INLAND
2.2639,128500.0,INLAND
2.2361,93800.0,INLAND
2.1719,99100.0,INLAND
1.5988,96400.0,INLAND
3.4722,127000.0,INLAND
0.536,87500.0,INLAND
4.4491,133900.0,INLAND
3.1728,146800.0,INLAND
3.6118,124700.0,INLAND
2.7234,110200.0,INLAND
3.5179,130800.0,INLAND
5.3245,174500.0,INLAND
3.9861,168100.0,INLAND
4.8194,170400.0,INLAND
5.1435,150800.0,INLAND
5.0164,165200.0,INLAND
2.6364,93500.0,INLAND
2.8466,113400.0,INLAND
2.905,97300.0,INLAND
4.4583,131000.0,INLAND
4.2647,133400.0,INLAND
2.0411,100000.0,INLAND
2.5495,103600.0,INLAND
4.8359,145300.0,INLAND
4.9167,152400.0,INLAND
4.4853,145900.0,INLAND
4.7566,142500.0,INLAND
1.7161,75800.0,INLAND
3.3625,126100.0,INLAND
4.6029,142600.0,INLAND
5.6779,164700.0,INLAND
2.5893,108500.0,INLAND
5.6506,178600.0,INLAND
5.7321,164700.0,INLAND
3.5368,122500.0,INLAND
5.5,179500.0,INLAND
5.4409,205100.0,INLAND
4.1111,158600.0,INLAND
1.2024,90200.0,INLAND
1.3958,67500.0,INLAND
2.7083,99400.0,INLAND
2.0,101400.0,INLAND
2.0034,87700.0,INLAND
2.5737,87000.0,INLAND
3.3371,94600.0,INLAND
3.6154,181800.0,INLAND
3.1389,117800.0,INLAND
4.1947,140300.0,INLAND
2.7374,150000.0,INLAND
4.2227,134400.0,INLAND
5.3098,151900.0,INLAND
3.5857,165200.0,INLAND
5.25,161700.0,INLAND
4.1016,170500.0,INLAND
5.5676,174200.0,INLAND
4.8542,144100.0,INLAND
4.9783,163900.0,INLAND
3.0042,103900.0,INLAND
2.1417,122200.0,INLAND
4.6628,136000.0,INLAND
5.102,156500.0,INLAND
4.0972,99200.0,INLAND
3.5129,110600.0,INLAND
4.1094,162200.0,INLAND
6.0497,177500.0,INLAND
6.1237,166000.0,INLAND
5.3363,160800.0,INLAND
5.1337,154800.0,INLAND
4.0767,143100.0,INLAND
1.4871,87100.0,INLAND
3.016,95300.0,INLAND
2.1013,100700.0,INLAND
2.7907,113900.0,INLAND
3.5436,100200.0,INLAND
4.2067,125000.0,INLAND
3.4817,129800.0,INLAND
2.5833,83500.0,INLAND
3.7043,139800.0,INLAND
3.3661,98500.0,INLAND
6.0424,165900.0,INLAND
5.1118,226900.0,INLAND
5.1021,202800.0,INLAND
5.4607,192300.0,INLAND
5.0915,193200.0,INLAND
4.4536,184000.0,INLAND
6.2135,217200.0,INLAND
4.9219,182000.0,INLAND
4.525,161300.0,INLAND
6.1436,259500.0,INLAND
6.1168,210500.0,INLAND
5.0092,244100.0,INLAND
4.7891,184800.0,INLAND
5.2145,229200.0,INLAND
3.6133,196100.0,INLAND
3.65,204100.0,INLAND
5.7512,240200.0,INLAND
5.9617,231100.0,INLAND
5.2442,213200.0,INLAND
5.1333,207200.0,INLAND
4.6071,184100.0,INLAND
3.7,179000.0,INLAND
4.5833,190700.0,INLAND
3.0859,167800.0,INLAND
5.431,246700.0,INLAND
3.1573,126700.0,INLAND
7.6166,260400.0,INLAND
5.5872,200600.0,INLAND
6.7371,267400.0,INLAND
6.7821,265900.0,INLAND
6.8145,339200.0,INLAND
13.4883,500001.0,INLAND
7.5139,398200.0,INLAND
12.2478,500001.0,INLAND
5.2699,204200.0,INLAND
6.4753,166800.0,INLAND
5.5601,213700.0,INLAND
2.875,162500.0,INLAND
10.5815,500001.0,INLAND
13.2949,500001.0,INLAND
13.1499,500001.0,INLAND
8.3209,485400.0,INLAND
2.9591,210100.0,INLAND
5.1582,194700.0,INLAND
4.1483,181200.0,INLAND
6.8642,285400.0,INLAND
6.6134,307000.0,INLAND
9.0243,427700.0,INLAND
7.3445,366700.0,INLAND
5.2798,237400.0,INLAND
7.1978,288000.0,INLAND
8.7059,329400.0,INLAND
6.2296,291700.0,INLAND
7.5695,320400.0,INLAND
6.299,286900.0,INLAND
6.6049,312600.0,INLAND
5.9346,253600.0,INLAND
1.5536,212500.0,INLAND
2.625,187500.0,INLAND
2.02,87500.0,INLAND
1.7245,92200.0,INLAND
2.32,91300.0,INLAND
2.5875,173400.0,INLAND
2.4917,200000.0,INLAND
1.9667,84600.0,INLAND
3.1806,107200.0,INLAND
3.5417,114800.0,INLAND
2.2589,131600.0,INLAND
1.8906,104200.0,INLAND
2.83,110500.0,INLAND
4.6,136800.0,INLAND
1.9018,109700.0,INLAND
4.0417,99300.0,INLAND
3.1625,103600.0,INLAND
3.0806,118500.0,INLAND
2.9091,141900.0,INLAND
2.3281,85800.0,INLAND
2.6607,90400.0,INLAND
3.15,86900.0,INLAND
2.0708,89600.0,INLAND
3.9722,313400.0,INLAND
2.996,126100.0,INLAND
3.3295,126600.0,INLAND
3.5,103600.0,INLAND
1.7188,96100.0,INLAND
2.675,104200.0,INLAND
2.2056,107200.0,INLAND
3.2396,101900.0,INLAND
2.0938,94400.0,INLAND
1.9851,86700.0,INLAND
3.0089,100800.0,INLAND
1.9727,114100.0,INLAND
2.7457,107800.0,INLAND
3.5,134700.0,INLAND
5.0718,162500.0,INLAND
4.225,127600.0,INLAND
3.5714,109700.0,INLAND
4.3333,121400.0,INLAND
3.7891,117700.0,INLAND
3.8333,118800.0,INLAND
3.017,97600.0,INLAND
2.875,87500.0,INLAND
4.0313,126000.0,INLAND
4.975,206300.0,INLAND
4.0714,437500.0,INLAND
1.875,500001.0,INLAND
4.8311,172200.0,INLAND
3.93,163400.0,INLAND
3.7625,113200.0,INLAND
2.902,127300.0,INLAND
3.2027,128600.0,INLAND
2.8562,128200.0,INLAND
3.1635,132600.0,INLAND
2.9444,119300.0,INLAND
1.7222,118500.0,INLAND
3.4688,120100.0,INLAND
4.9583,87500.0,INLAND
0.9227,95500.0,INLAND
4.7083,213300.0,INLAND
6.844,239600.0,INLAND
4.6394,173400.0,INLAND
6.314,228900.0,INLAND
5.3344,217500.0,INLAND
4.7276,197500.0,INLAND
4.1163,172500.0,INLAND
4.5246,198900.0,INLAND
5.4413,187900.0,INLAND
5.584,186600.0,INLAND
3.225,163300.0,INLAND
3.2964,176900.0,INLAND
5.2032,217100.0,INLAND
3.9036,180800.0,INLAND
4.0714,300600.0,INLAND
4.5568,170100.0,INLAND
4.1843,207600.0,INLAND
4.3981,202800.0,INLAND
5.5111,196300.0,INLAND
4.835,230600.0,INLAND
4.0,167400.0,INLAND
4.825,184600.0,INLAND
2.5625,146100.0,INLAND
2.2269,128300.0,INLAND
2.8807,142600.0,INLAND
2.5104,120500.0,INLAND
2.1603,111300.0,INLAND
2.3314,121600.0,INLAND
2.6392,148500.0,INLAND
1.5625,108300.0,INLAND
2.9844,127900.0,INLAND
2.7273,128600.0,INLAND
3.6406,150900.0,INLAND
2.1682,138100.0,INLAND
2.9,158700.0,INLAND
2.9219,141300.0,INLAND
4.03,141200.0,INLAND
2.3583,108700.0,INLAND
3.0217,106900.0,INLAND
1.7266,94700.0,INLAND
2.7201,117500.0,INLAND
4.0709,151700.0,INLAND
4.0675,140200.0,INLAND
4.0197,132200.0,INLAND
3.0789,131700.0,INLAND
3.9812,136600.0,INLAND
2.5865,133800.0,INLAND
2.5042,126400.0,INLAND
2.6833,118800.0,INLAND
3.6125,100000.0,INLAND
3.5192,98000.0,INLAND
3.5667,115600.0,INLAND
4.625,162500.0,INLAND
4.0827,170700.0,INLAND
5.7373,208300.0,INLAND
3.0565,118800.0,INLAND
3.5511,155900.0,INLAND
3.4872,141400.0,INLAND
2.3319,138500.0,INLAND
2.101,56700.0,INLAND
1.372,49600.0,INLAND
1.5625,47500.0,INLAND
1.975,47500.0,INLAND
1.7011,44800.0,INLAND
0.9513,50400.0,INLAND
1.5833,56700.0,INLAND
2.2206,59200.0,INLAND
2.1518,53000.0,INLAND
1.4427,47700.0,INLAND
1.2344,43300.0,INLAND
1.7829,52600.0,INLAND
1.5227,46900.0,INLAND
1.5547,93900.0,INLAND
2.5045,90300.0,INLAND
1.2375,50000.0,INLAND
1.2813,56400.0,INLAND
1.0513,39600.0,INLAND
2.1094,75000.0,INLAND
0.799,51800.0,INLAND
1.3527,61200.0,INLAND
1.123,46700.0,INLAND
1.8967,43800.0,INLAND
1.6435,52600.0,INLAND
2.6176,54100.0,INLAND
2.4137,62100.0,INLAND
4.35,67500.0,INLAND
2.4167,73900.0,INLAND
1.25,53000.0,INLAND
2.0043,53500.0,INLAND
1.5625,52800.0,INLAND
1.0481,48500.0,INLAND
1.0472,57800.0,INLAND
1.3922,49500.0,INLAND
1.3304,51300.0,INLAND
1.2404,52500.0,INLAND
2.1458,34400.0,INLAND
1.3047,44100.0,INLAND
1.3587,45300.0,INLAND
2.1905,61800.0,INLAND
1.5611,44400.0,INLAND
2.875,60600.0,INLAND
1.4577,49800.0,INLAND
2.3269,50800.0,INLAND
2.1304,58500.0,INLAND
1.3343,60800.0,INLAND
1.8723,52600.0,INLAND
1.4419,45500.0,INLAND
1.6325,52100.0,INLAND
2.0536,50000.0,INLAND
4.7463,93100.0,INLAND
2.7813,120300.0,INLAND
1.5449,62500.0,INLAND
4.0027,93100.0,INLAND
4.9196,117900.0,INLAND
7.2211,171700.0,INLAND
3.5128,121600.0,INLAND
4.4583,108300.0,INLAND
2.6875,153800.0,INLAND
1.4007,225000.0,INLAND
1.4646,65900.0,INLAND
6.8162,127200.0,INLAND
0.6991,89500.0,INLAND
2.2437,54200.0,INLAND
5.2608,151400.0,INLAND
3.0179,91600.0,INLAND
2.0294,70400.0,INLAND
1.7986,49300.0,INLAND
2.1563,88300.0,INLAND
1.8355,74200.0,INLAND
3.9211,92300.0,INLAND
3.4107,110400.0,INLAND
1.6607,58000.0,INLAND
3.0139,65300.0,INLAND
2.9013,89500.0,INLAND
1.6602,61200.0,INLAND
3.5781,92800.0,INLAND
3.3438,92600.0,INLAND
2.1691,66700.0,INLAND
2.77,68400.0,INLAND
2.2466,96000.0,INLAND
1.7692,74200.0,INLAND
2.6146,81300.0,INLAND
2.0658,67900.0,INLAND
2.5809,78300.0,INLAND
3.5375,96700.0,INLAND
1.4817,72000.0,INLAND
1.976,67300.0,INLAND
2.0781,48800.0,INLAND
1.575,57100.0,INLAND
1.3929,55600.0,INLAND
2.9306,67900.0,INLAND
2.2029,54200.0,INLAND
1.7636,55100.0,INLAND
1.8971,66900.0,INLAND
1.4028,68500.0,INLAND
1.6429,69200.0,INLAND
1.7298,58400.0,INLAND
2.4375,57100.0,INLAND
2.3952,78400.0,INLAND
1.175,56100.0,INLAND
1.0,45000.0,INLAND
1.5273,59000.0,INLAND
2.1055,61300.0,INLAND
1.7344,51300.0,INLAND
1.2937,52000.0,INLAND
1.4635,46600.0,INLAND
1.75,49800.0,INLAND
1.4766,50600.0,INLAND
2.19,53400.0,INLAND
1.2545,45500.0,INLAND
1.2101,49100.0,INLAND
1.869,56000.0,INLAND
1.5174,54600.0,INLAND
1.6548,49400.0,INLAND
1.3029,69100.0,INLAND
1.8667,62800.0,INLAND
3.3125,70100.0,INLAND
1.7083,48300.0,INLAND
1.8641,50800.0,INLAND
2.9545,59600.0,INLAND
1.2065,55600.0,INLAND
1.8958,51300.0,INLAND
1.9955,54200.0,INLAND
2.5111,55400.0,INLAND
1.7994,58700.0,INLAND
1.4766,52800.0,INLAND
1.4107,59800.0,INLAND
1.3278,44500.0,INLAND
2.3006,69000.0,INLAND
2.6611,74700.0,INLAND
3.1,71300.0,INLAND
3.9514,86900.0,INLAND
1.6073,64700.0,INLAND
3.1719,67900.0,INLAND
2.4956,87500.0,INLAND
2.4728,88300.0,INLAND
2.3108,72000.0,INLAND
3.8088,87700.0,INLAND
3.6681,82000.0,INLAND
2.1461,75900.0,INLAND
3.1417,74600.0,INLAND
2.1653,78800.0,INLAND
3.1953,85700.0,INLAND
3.9338,84700.0,INLAND
3.25,81400.0,INLAND
2.0536,55000.0,INLAND
2.6932,66400.0,INLAND
3.0,72800.0,INLAND
2.625,71500.0,INLAND
3.7578,69200.0,INLAND
2.6767,87500.0,INLAND
2.9406,73000.0,INLAND
2.5737,76900.0,INLAND
2.6726,70400.0,INLAND
2.4405,74300.0,INLAND
2.3333,81300.0,INLAND
2.2467,70700.0,INLAND
2.785,72300.0,INLAND
2.1439,60200.0,INLAND
2.0564,64700.0,INLAND
2.5434,67300.0,INLAND
1.9375,67700.0,INLAND
1.2176,61900.0,INLAND
2.3562,58100.0,INLAND
1.9784,70700.0,INLAND
2.0357,60200.0,INLAND
3.8105,87600.0,INLAND
2.2614,73000.0,INLAND
2.319,59100.0,INLAND
2.3967,58700.0,INLAND
3.5972,89900.0,INLAND
3.15,72200.0,INLAND
2.5804,78900.0,INLAND
3.4265,85000.0,INLAND
3.625,83400.0,INLAND
2.6127,69600.0,INLAND
3.0568,71300.0,INLAND
2.9081,65600.0,INLAND
2.4286,68100.0,INLAND
2.625,71600.0,INLAND
2.8359,80300.0,INLAND
3.6522,80200.0,INLAND
3.0938,76700.0,INLAND
3.7821,80400.0,INLAND
3.4213,84500.0,INLAND
2.7857,79700.0,INLAND
2.9853,74700.0,INLAND
2.0446,81300.0,INLAND
2.9315,83200.0,INLAND
1.8214,80100.0,INLAND
2.8194,81100.0,INLAND
2.875,74500.0,INLAND
3.3125,106100.0,INLAND
4.1719,126400.0,INLAND
3.6204,119800.0,INLAND
2.9808,89600.0,INLAND
2.3194,90600.0,INLAND
1.7,69000.0,INLAND
3.4861,112500.0,INLAND
2.6852,70800.0,INLAND
1.6168,71800.0,INLAND
1.8299,57800.0,INLAND
3.6,83200.0,INLAND
1.8,60400.0,INLAND
3.087,88200.0,INLAND
3.4297,112500.0,INLAND
3.2813,105400.0,INLAND
2.1618,55300.0,INLAND
2.7917,82800.0,INLAND
3.8056,165400.0,INLAND
1.3221,61200.0,INLAND
7.5,256200.0,INLAND
5.1781,122500.0,INLAND
6.7181,160300.0,INLAND
4.8036,141600.0,INLAND
4.7622,89300.0,INLAND
3.3239,91300.0,INLAND
5.5842,88900.0,INLAND
5.5405,119300.0,INLAND
4.2132,96500.0,INLAND
3.3942,72100.0,INLAND
4.6726,107800.0,INLAND
3.755,68000.0,INLAND
3.6563,88800.0,INLAND
2.9565,73000.0,INLAND
2.5595,67900.0,INLAND
10.5144,345900.0,INLAND
8.9669,213900.0,INLAND
8.7716,229200.0,INLAND
6.8645,195900.0,INLAND
6.9903,141200.0,INLAND
5.3241,123000.0,INLAND
7.4201,229700.0,INLAND
6.1175,144700.0,INLAND
5.5357,167700.0,INLAND
7.2909,155600.0,INLAND
5.2809,151500.0,INLAND
5.0698,150900.0,INLAND
7.7062,188300.0,INLAND
8.3608,187300.0,INLAND
8.2737,193500.0,INLAND
5.9897,123600.0,INLAND
5.3886,125300.0,INLAND
3.2569,124400.0,INLAND
3.2147,111900.0,INLAND
2.8274,79500.0,INLAND
4.2071,128300.0,INLAND
1.9511,54000.0,INLAND
1.7926,51700.0,INLAND
3.7656,145000.0,INLAND
4.2304,94400.0,INLAND
5.4868,158800.0,INLAND
3.3229,119300.0,INLAND
4.049,126000.0,INLAND
5.6445,135500.0,INLAND
2.3667,69300.0,INLAND
3.2143,93000.0,INLAND
4.3315,95800.0,INLAND
2.2215,72200.0,INLAND
3.4167,105200.0,INLAND
1.7708,53500.0,INLAND
3.4542,121200.0,INLAND
5.4513,143300.0,INLAND
6.3359,169300.0,INLAND
6.1575,160100.0,INLAND
3.8571,90100.0,INLAND
2.9471,99500.0,INLAND
3.5958,88800.0,INLAND
3.125,80800.0,INLAND
3.4074,72700.0,INLAND
2.0469,66900.0,INLAND
3.3272,65600.0,INLAND
2.5223,66200.0,INLAND
1.3385,58800.0,INLAND
3.3447,71400.0,INLAND
1.9575,67000.0,INLAND
2.0324,55500.0,INLAND
3.0,79700.0,INLAND
2.6055,69200.0,INLAND
2.6522,65900.0,INLAND
1.6854,64700.0,INLAND
2.9506,73800.0,INLAND
1.9386,67500.0,INLAND
2.03,58800.0,INLAND
3.5542,96500.0,INLAND
2.4167,71900.0,INLAND
5.187,153800.0,INLAND
3.069,69600.0,INLAND
1.8514,66500.0,INLAND
3.32,124700.0,INLAND
4.25,132200.0,INLAND
3.2642,89600.0,INLAND
2.3293,73400.0,INLAND
2.256,64500.0,INLAND
1.5122,47500.0,INLAND
2.9301,68300.0,INLAND
2.1544,72800.0,INLAND
2.1383,78800.0,INLAND
2.9937,81100.0,INLAND
3.3281,75100.0,INLAND
2.1573,71400.0,INLAND
2.293,71700.0,INLAND
2.5893,70900.0,INLAND
2.9244,84600.0,INLAND
2.8994,66000.0,INLAND
2.2094,83700.0,INLAND
2.7222,83100.0,INLAND
2.4678,74300.0,INLAND
2.3333,90600.0,INLAND
2.197,74500.0,INLAND
1.2716,69400.0,INLAND
3.4279,84700.0,INLAND
2.3375,99300.0,INLAND
3.567,85500.0,INLAND
3.625,89500.0,INLAND
4.2153,95200.0,INLAND
4.5179,99600.0,INLAND
5.2595,110900.0,INLAND
4.7804,101100.0,INLAND
5.0635,108500.0,INLAND
4.0196,84200.0,INLAND
4.9292,109400.0,INLAND
4.1098,108200.0,INLAND
5.3272,174200.0,INLAND
5.0941,143700.0,INLAND
3.9032,140800.0,INLAND
2.4861,86300.0,INLAND
6.9405,165200.0,INLAND
4.0,164600.0,INLAND
4.5398,143100.0,INLAND
5.308,167500.0,INLAND
2.5904,71400.0,INLAND
2.3173,68200.0,INLAND
2.7159,68000.0,INLAND
1.8061,113400.0,INLAND
3.5078,109000.0,INLAND
5.3478,138800.0,INLAND
5.0828,111400.0,INLAND
2.3381,112500.0,INLAND
1.6618,69700.0,INLAND
1.7969,72800.0,INLAND
2.9453,72200.0,INLAND
2.7778,79700.0,INLAND
1.9483,112500.0,INLAND
2.2639,52500.0,INLAND
3.9943,100200.0,INLAND
4.9327,89500.0,INLAND
1.4913,54600.0,INLAND
3.1814,78900.0,INLAND
4.4356,111300.0,INLAND
5.0864,113700.0,INLAND
6.1133,120000.0,INLAND
4.5577,123300.0,INLAND
4.9432,114400.0,INLAND
5.0253,106200.0,INLAND
1.8021,55900.0,INLAND
4.81,93600.0,INLAND
3.9792,88900.0,INLAND
2.5446,93800.0,INLAND
4.4934,88000.0,INLAND
4.2066,88400.0,INLAND
3.2813,68700.0,INLAND
6.011,163100.0,INLAND
3.7697,83600.0,INLAND
3.5417,71300.0,INLAND
2.7404,76300.0,INLAND
2.6875,60600.0,INLAND
4.0993,83000.0,INLAND
